year,country,cluster,pop,life_expect,fertility,longitude,latitude
1955,Afghanistan,0,8891209,30.332,7.7,66.00473115,33.83523216
1960,Afghanistan,0,9829450,31.997,7.7,66.00473115,33.83523216
1965,Afghanistan,0,10997885,34.02,7.7,66.00473115,33.83523216
1970,Afghanistan,0,12430623,36.088,7.7,66.00473115,33.83523216
1975,Afghanistan,0,14132019,38.438,7.7,66.00473115,33.83523216
1980,Afghanistan,0,15112149,39.854,7.8,66.00473115,33.83523216
1985,Afghanistan,0,13796928,40.822,7.9,66.00473115,33.83523216
1990,Afghanistan,0,14669339,41.674,8,66.00473115,33.83523216
1995,Afghanistan,0,20881480,41.763,8,66.00473115,33.83523216
2000,Afghanistan,0,23898198,42.129,7.4792,66.00473115,33.83523216
2005,Afghanistan,0,29928987,43.828,7.0685,66.00473115,33.83523216
1955,Argentina,3,18927821,64.399,3.1265,-65.17980881,-35.38135347
1960,Argentina,3,20616009,65.142,3.0895,-65.17980881,-35.38135347
1965,Argentina,3,22283100,65.634,3.049,-65.17980881,-35.38135347
1970,Argentina,3,23962313,67.065,3.1455,-65.17980881,-35.38135347
1975,Argentina,3,26081880,68.481,3.44,-65.17980881,-35.38135347
1980,Argentina,3,28369799,69.942,3.15,-65.17980881,-35.38135347
1985,Argentina,3,30675059,70.774,3.053,-65.17980881,-35.38135347
1990,Argentina,3,33022202,71.868,2.9,-65.17980881,-35.38135347
1995,Argentina,3,35311049,73.275,2.63,-65.17980881,-35.38135347
2000,Argentina,3,37497728,74.34,2.35,-65.17980881,-35.38135347
2005,Argentina,3,39537943,75.32,2.254,-65.17980881,-35.38135347
1955,Aruba,3,53865,64.381,5.15,-69.98267466,12.52088881
1960,Aruba,3,57203,66.606,4.399,-69.98267466,12.52088881
1965,Aruba,3,59020,68.336,3.301,-69.98267466,12.52088881
1970,Aruba,3,59039,70.941,2.651,-69.98267466,12.52088881
1975,Aruba,3,59390,71.83,2.45,-69.98267466,12.52088881
1980,Aruba,3,60266,74.116,2.358,-69.98267466,12.52088881
1985,Aruba,3,64129,74.494,2.3,-69.98267466,12.52088881
1990,Aruba,3,66653,74.108,2.28,-69.98267466,12.52088881
1995,Aruba,3,67836,73.011,2.208,-69.98267466,12.52088881
2000,Aruba,3,69539,73.451,2.124,-69.98267466,12.52088881
2005,Aruba,3,71566,74.239,2.04,-69.98267466,12.52088881
1955,Australia,4,9277087,70.33,3.406,134.4909988,-25.73288736
1960,Australia,4,10361273,70.93,3.274,134.4909988,-25.73288736
1965,Australia,4,11439384,71.1,2.871,134.4909988,-25.73288736
1970,Australia,4,12660160,71.93,2.535,134.4909988,-25.73288736
1975,Australia,4,13771400,73.49,1.989,134.4909988,-25.73288736
